Season,Replicate,Climate,SILV_i,SILV_f
Summer,1,RCP 4.5,71.6,31.6
Summer,2,RCP 4.5,74.3,31.7
Summer,3,RCP 4.5,71.1,18.3
Summer,4,RCP 4.5,73.6,24.4
Summer,5,RCP 4.5,72.4,32.8
Summer,6,RCP 4.5,72.4,53.6
Summer,7,RCP 4.5,72.7,21.3
Summer,8,RCP 4.5,72.6,28.2
Summer,9,RCP 4.5,70.7,35.3
Summer,10,RCP 4.5,72.4,30.4
Summer,1,RCP 2.6,74.3,47.3
Summer,2,RCP 2.6,74,40.3
Summer,3,RCP 2.6,73.4,49.8
Summer,4,RCP 2.6,73,35.9
Summer,5,RCP 2.6,74.3,21.3
Summer,6,RCP 2.6,71.3,38
Summer,7,RCP 2.6,71.2,27.4
Summer,8,RCP 2.6,73.8,26.2
Summer,9,RCP 2.6,70.5,29.1
Summer,10,RCP 2.6,70,24.3
Summer,1,Ambient,70.4,46.9
Summer,2,Ambient,72,48
Summer,3,Ambient,73.3,57
Summer,4,Ambient,72,36.9
Summer,5,Ambient,73.4,54.6
Summer,6,Ambient,73.5,54
Summer,7,Ambient,72.7,56.7
Summer,8,Ambient,70.2,36.6
Summer,9,Ambient,73.2,47.4
Summer,10,Ambient,73.3,49.9
Winter,1,RCP 4.5,72.2,62.9
Winter,2,RCP 4.5,70.7,65.9
Winter,3,RCP 4.5,72.2,60.2
Winter,4,RCP 4.5,69,71.9
Winter,5,RCP 4.5,68.5,73.2
Winter,6,RCP 4.5,72.4,72
Winter,7,RCP 4.5,72.7,70.1
Winter,8,RCP 4.5,71.4,68.5
Winter,9,RCP 4.5,72.3,71.1
Winter,10,RCP 4.5,71.6,71.9
Winter,1,RCP 2.6,70.6,74
Winter,2,RCP 2.6,70.6,78.5
Winter,3,RCP 2.6,69.4,74.5
Winter,4,RCP 2.6,72.3,84.4
Winter,5,RCP 2.6,73.4,80.7
Winter,6,RCP 2.6,68.5,79
Winter,7,RCP 2.6,71.6,80.5
Winter,8,RCP 2.6,72.9,80.2
Winter,9,RCP 2.6,67.6,69.6
Winter,10,RCP 2.6,68.2,73.4
Winter,1,Ambient,70.7,71.7
Winter,2,Ambient,73.4,83.2
Winter,3,Ambient,70.6,72.2
Winter,4,Ambient,70,78
Winter,5,Ambient,70.6,76.1
Winter,6,Ambient,70.7,79
Winter,7,Ambient,69.4,74.9
Winter,8,Ambient,72.6,78.2
Winter,9,Ambient,70.2,74.6
Winter,10,Ambient,72.2,76.1
