"site","sp","slopeC.BA","slopeF.BA","slopeI.BA","slopeFC.BA","slopeIC.BA","effmono.F.deltaBA","effmono.I.deltaBA","Fdamage","Idamage"
"A","CaHe",6.56285801863257,-3.08668868900162,0.256595904349176,-9.64954670763419,-6.30626211428339,6.61197151024454,3.56176816935127,35.4123711340206,18.2989690721649
"A","CaSc",-1.49031386339678,1.37464313548638,-1.31304938760925,2.86495699888316,0.177264475787533,-2.89581340276679,-1.81015487409296,4.78571428571429,8.92857142857143
"A","ChAx",2.68255702659346,1.96037845145659,6.72503656208518,-0.722178575136869,4.04247953549173,-2.90745170925925,-2.73496194688501,13.3673469387755,29.2091836734694
"A","CyGl",-0.43385747534015,1.03014793960533,-0.306157764182325,1.46400541494548,0.127699711157825,-1.31885412718131,0.65325565779736,9.78365384615385,11.7788461538462
"A","CyMy",-1.99224543039278,-1.26493469427963,-1.32704697723634,0.727310736113144,0.665198453156436,-1.35244056184386,-1.49918794340376,1.35714285714286,12.2619047619048
"A","KoBi",0.0765602893957111,-0.474663984130252,0.463971464695807,-0.551224273525963,0.387411175300096,2.11377855257188,1.66805479936228,16.9362745098039,12.328431372549
"A","LiFo",-1.14929195852288,0.260795026805089,-1.33137997772188,1.41008698532797,-0.182088019199007,0.78613318724044,2.71813876234852,31.1904761904762,22.8809523809524
"A","LiGl",-1.24171008398214,-0.681623680561712,0.157973721712316,0.560086403420424,1.39968380569445,0.44470450053687,0.67102565894,3.48557692307692,14.0952380952381
"A","NySi",2.17196817301609,1.33599345654031,0.194801541660265,-0.835974716475774,-1.97716663135582,2.99207431671186,4.00184190936856,28.6428571428571,18.047619047619
"A","QuFa",-0.307520570770774,-0.631191852538209,-0.485031864969905,-0.323671281767435,-0.177511294199131,0.91493149981801,0.15984213099485,4.73809523809524,15.4761904761905
"A","QuSe",-0.149213590624277,-0.835472444054806,-1.04358560211482,-0.686258853430528,-0.894372011490538,-0.2377550260478,0.2586548535794,13.6904761904762,13.047619047619
"A","RhCh",0.397383735912502,0.220360809981466,0.261724377862195,-0.177022925931035,-0.135659358050306,0.58318019806877,-0.254726391979339,21.2857142857143,15.2142857142857
"A","SaMu",0.389956953728993,1.19379329502119,-0.891639848076154,0.803836341292201,-1.28159680180515,0.41844661025386,-0.11801453105315,5.58673469387755,7.37244897959184
"A","SaSe",-1.12234750669926,0.996877061452061,-1.04358957322913,2.11922456815132,0.0787579334701372,0.0164757120344201,1.39325663072398,3.26190476190476,6.95238095238095
"A","ScSu",6.13207521531601,-1.02591274619445,5.13983858478222,-7.15798796151046,-0.992236630533787,4.17123714414768,-2.0025671286438,3.04761904761905,9.78571428571429
"B","AiAl",NA,0.0821791640091422,-0.0417170810990031,NA,NA,NA,NA,6.57692307692308,19.4230769230769
"B","AlFo",2.39362853015526,-0.219217864451923,-1.48349777661104,-2.61284639460718,-3.8771263067663,0.26490163700541,0.92594288502364,20.5,2.78571428571429
"B","BeLu",3.76799564693317,1.9128081789887,-0.922958088351717,-1.85518746794447,-4.69095373528488,2.7158645640149,1.42044515899931,33.8333333333333,5.11904761904762
"B","CaFa",-1.01617994423488,1.08775924814346,3.47851848537357,2.10393919237834,4.49469842960845,1.42742549548522,-0.4320675323348,9.15,8.4
"B","ElCh",3.2329765821697,2.71773844671161,-1.4945662282001,-0.515238135458094,-4.7275428103698,-0.637269348832,0.753129550372361,5.95238095238095,5.69047619047619
"B","ElGl",5.00170966113045,0.698995430416537,3.80268857796892,-4.30271423071391,-1.19902108316153,-1.72474576538965,-2.98246017542984,8.40476190476191,15.0714285714286
"B","ElJa",6.9362774138987,3.07327036728959,7.29988698019445,-3.86300704660911,0.363609566295749,-0.0409804288890301,4.27711219937474,6.30952380952381,3.66666666666667
"B","IdPo",0.0101728917731517,0.0708915237191619,-0.139933684796646,0.0607186319460102,-0.150106576569798,-0.109005617007562,0.194582394981719,12.0967741935484,5.88709677419355
"B","MaGr",-0.0327815486233782,0.0173589172724689,-0.0370843245166728,0.0501404658958471,-0.00430277589329454,-0.00315924205052007,0.0563942355414764,2.725,3.725
"B","MaLe",-0.269289350621437,0.139423617225361,-0.0351311245897219,0.408712967846798,0.234158226031715,-0.489379536516642,-0.461274342688249,5.96938775510204,8.85204081632653
"B","MaTh",NA,0.474652690617333,0.0334045723350171,NA,NA,NA,NA,2.5,4.09638554216868
"B","MaYu",1.0619100569609,-1.04677676015812,-1.13775518859075,-2.10868681711902,-2.19966524555165,-0.56453655177808,-1.00480369977006,2.67857142857143,2.35119047619048
"B","PhBo",-0.0171572729125404,-0.0159035774172594,0.00631627792642386,0.00125369549528096,0.0234735508389643,-0.115897706508837,-0.0482843376520126,1.953125,5.75520833333333
"B","QuPh",0.0524245920152408,-0.00863658530952466,0.400990201074525,-0.0610611773247655,0.348565609059284,NA,NA,0.738095238095238,9.38095238095238
